iter	Passed	Remaining
0	60	182930
1	131	196662
2	195	195113
3	241	181155
4	260	155961
5	316	158053
6	377	161530
7	438	163969
8	501	166585
9	511	152902
10	571	155234
11	629	156676
12	673	154831
13	733	156401
14	809	161048
15	887	165564
16	948	166508
17	1028	170419
18	1109	174043
19	1190	177338
20	1280	181691
21	1361	184344
22	1441	186608
23	1475	182943
24	1504	179035
25	1575	180170
26	1655	182265
27	1737	184398
28	1809	185397
29	1885	186703
30	1965	188222
31	2040	189262
32	2115	190165
33	2181	190289
34	2245	190194
35	2311	190282
36	2375	190201
37	2436	189903
38	2445	185673
39	2500	185068
40	2556	184499
41	2612	184000
42	2671	183700
43	2729	183397
44	2804	184191
45	2883	185144
46	2964	186234
47	3046	187368
48	3128	188391
49	3210	189406
50	3286	190018
51	3362	190642
52	3396	188849
53	3460	188806
54	3533	189225
55	3572	187836
56	3643	188106
57	3718	188606
58	3790	188952
59	3859	189098
60	3887	187308
61	3972	188253
62	4053	188960
63	4138	189838
64	4218	190490
65	4292	190815
66	4370	191321
67	4387	189180
68	4459	189411
69	4532	189715
70	4604	189938
71	4674	190109
72	4746	190319
73	4818	190515
74	4895	190935
75	4967	191106
76	5036	191206
77	5110	191438
78	5172	191247
79	5235	191086
80	5303	191108
81	5322	189411
82	5397	189701
83	5407	187727
84	5468	187537
85	5529	187347
86	5588	187119
87	5660	187305
88	5720	187113
89	5783	187009
90	5848	186951
91	5913	186910
92	5981	186965
93	6053	187143
94	6123	187255
95	6191	187297
96	6256	187234
97	6328	187407
98	6406	187733
99	6477	187853
100	6487	186223
101	6557	186314
102	6622	186254
103	6688	186244
104	6752	186165
105	6815	186084
106	6884	186134
107	6955	186251
108	7027	186380
109	7099	186523
110	7173	186698
111	7239	186680
112	7306	186664
113	7370	186594
114	7434	186521
115	7497	186394
116	7509	185045
117	7578	185088
118	7646	185134
119	7717	185223
120	7780	185118
121	7840	184951
122	7906	184934
123	7975	184985
124	8045	185053
125	8114	185083
126	8190	185292
127	8268	185515
128	8337	185558
129	8406	185592
130	8467	185450
131	8525	185227
132	8583	185023
133	8639	184792
134	8696	184557
135	8754	184362
136	8813	184188
137	8874	184054
138	8940	184022
139	9006	183980
140	9068	183879
141	9132	183811
142	9198	183775
143	9259	183638
144	9324	183594
145	9386	183491
146	9443	183288
147	9501	183097
148	9558	182890
149	9618	182746
150	9676	182569
151	9732	182360
152	9788	182136
153	9851	182058
154	9866	181092
155	9928	181010
156	9997	181043
157	10063	181023
158	10130	181010
159	10195	180966
160	10258	180897
161	10324	180864
162	10388	180818
163	10447	180656
164	10460	179722
165	10525	179695
166	10542	178844
167	10604	178755
168	10664	178651
169	10696	178072
170	10762	178058
171	10833	178126
172	10898	178095
173	10966	178118
174	11038	178189
175	11106	178200
176	11175	178238
177	11242	178242
178	11303	178139
179	11367	178088
180	11426	177968
181	11484	177823
182	11541	177657
183	11546	176718
184	11602	176550
185	11662	176436
186	11722	176335
187	11780	176202
188	11839	176091
189	11903	176049
190	11967	176008
191	11978	175191
192	12045	175197
193	12113	175204
194	12175	175145
195	12239	175097
196	12302	175045
197	12367	175012
198	12426	174914
199	12483	174762
200	12540	174631
201	12604	174595
202	12662	174472
203	12721	174354
204	12779	174237
205	12841	174170
206	12905	174130
207	12932	173597
208	13001	173620
209	13067	173614
210	13133	173594
211	13195	173529
212	13254	173429
213	13315	173355
214	13348	172905
215	13408	172819
216	13465	172696
217	13520	172537
218	13580	172457
219	13639	172353
220	13697	172241
